id,name,description,maintain_stock,quantity,condition,warranty,created_at,updated_at,sort_order,disabled,reorder_at,taxable,upc_code,pdf,discount_percent,warranty_template_id,qb_item_id,vendor_id,desired_stock_level,notes,tax_rate_id,physical_location,xero_item_id,serialized,long_description,woo_description,woo_long_description,canonical_product_id,one_time_use,upsell_products,upsell_categories,is_shipping_product,nonbillable_time,delete,price_retail,price_cost,price_wholesale,category_path,vendor,JB Hi-Fi-SKU,Ubiquiti Warehouse-SKU,Asus-SKU,Leader Systems-SKU,Ebay-SKU,PC Case Gear-SKU,Edsys-SKU,MSY Balcatta-SKU,MSY Cannington-SKU,L&H Group-SKU,Ingram Micro-SKU,ACA Pacific-SKU,Bunnings-SKU,MM Electrical Merchandising-SKU,FairTel (Supplier)-SKU,PSA Parts-SKU,Sektor-SKU,Office Works-SKU,Synnex-SKU,serial_numbers
9456035,"Asus ExpertBook 14"" i5 16GB","Asus ExpertBook 14"" i5 16GB 256GB Widows 11Pro",true,0,New,,2019-05-21 15:30:11 +0800,2025-11-28 17:47:12 +0800,,false,,true,90NX0871-M00JZ0,"",,18086,3415463,,,"",37894,"",,true,,,,,false,[],[],,,"",1499.0,1004.52,0.0,Hardware;Computer;Laptop,Leader Systems,,,,,,,NBB1402EB0134X,,,,,,,,,,,,P1403CVA-S60482X,""
9465747,Tablet / Mobile Device,Tablet / Mobile Device,true,0,New,,2019-05-24 16:10:41 +0800,2025-11-24 14:47:27 +0800,,false,,true,8806095279596,"",,21614,3696953,,,"",37894,"",,true,,,,,false,[],[],,,"",479.0,194.99,0.0,Hardware;Computer;Peripherals and Cables;Monitor,Leader Systems,,,,MD-SM-X210NZAAXNZ,,,,,,,,,,,,,,,,""
9473691,Barcode Scanner,Barcode Scanner - Black USB Kit,true,0,New,,2019-05-29 09:59:35 +0800,2025-11-28 17:47:12 +0800,,false,,true,LS2208-SR20007R-UR,"",,18624,3696952,,,"",37894,"",,true,,,,,false,[],[],,,"",149.0,0.0,0.0,Hardware;Computer;Peripherals and Cables;KB/M,Ingram Micro,,,,POS-SCMOLS2208K,,,,,,,1009312,,,,,,,,,""
9512842,Edimax Long Range 8-Port PoE Switch,Edimax Long Range 8-Port Gigabit Web Managed Switch with 4 PoE+ Ports,true,0,New,,2019-06-06 08:05:27 +0800,2022-11-15 15:42:36 +0800,,false,,true,NWE-GS-3008P,"",,18086,3696960,,,"",37894,"",,true,,,,,false,[],[],,,"",185.0,125.13,156.0,Hardware;Networking;Switch,Leader Systems,,,,,,,,,,,,,,,,,,,,""
9512949,TP-Link TL-SG2210P,TP-Link TL-SG2210P 8-Port Gigabit Smart PoE Switch with 2 SFP Slots,true,0,New,,2019-06-06 11:20:41 +0800,2022-11-15 15:42:45 +0800,,false,,true,6935364080259,"",,18086,3696960,,,"",37894,M106,,true,,,,,false,[],[],,,"",239.0,156.56,197.5,Hardware;Networking;Switch,Leader Systems,,,,NWTL-SG2210P,,,,,,,,,,,,,,,,""
9513087,Office 365 - Personal,Microsoft 365 Personal 1 Year Subscription Medialess 1 User ,true,0,New,,2019-06-06 16:13:03 +0800,2025-01-21 12:42:16 +0800,,false,,true,QQ2-00982,"",,47833,3706057,,,"",37894,"",,true,,,,,false,[],[],,,"",184.0,119.9,151.95,Software;Subscription 365,Leader Systems,,,,,,,,,,,,,,,,,,,,""
9518287,Edimax Long Range 5-Port PoE Switch,Edimax Long Range 5-Port Gigabit Web Managed Switch with 4 PoE+ Ports,true,0,New,,2019-06-07 14:56:26 +0800,2022-11-15 15:42:55 +0800,,false,,true,NWE-GS-3005P,"",,18086,3696960,,,"",37894,"",,true,,,,,false,[],[],,,"",145.0,96.03,119.9,Hardware;Networking;Switch,Leader Systems,,,,96.03,,,,,,,,,,,,,,,,""
9571736,Draytek Vigor3220 Quad WAN,"Draytek Vigor3220 Quad WAN Broadband Router with Dual USB for 3G/4G, Firewall, DMZ Port, 100x VPN, 50 x SSL VPN Tunnels 2yr wty",true,0,New,,2019-06-17 15:02:23 +0800,2022-11-15 15:32:35 +0800,,false,,true,MOD-DV3220,"",,33914,3415653,,,"",37894,"",,true,,,,,false,[],[],,,"",940.0,671.0,0.0,"Hardware;Networking;Firewall, Router, Modem",Leader Systems,,,,MOD-DV3220,,,,,,,,,,,,,,,,""
9831036,CloudBerry MB,CloudBerry Managed Backup Annual Subscription,false,0,New,,2019-07-04 21:47:01 +0800,2022-11-15 09:37:07 +0800,,false,,true,,"",,18086,3415808,,,,37894,,,false,,,,,false,[],[],,,"",99.0,61.87,0.0,Software;Other Software,,,,,,,,,,,,,,,,,,,,,
9831120,9RU 550mm Rack,9RU 550mm Deep Wall Mount Rack Cabinet + Swing Frame,true,0,New,,2019-07-04 23:40:35 +0800,2022-11-15 09:36:59 +0800,,false,,true,,"",,18086,3415354,,,,37894,,,false,,,,,false,[],[],,,"",544.0,0.0,259.0,Hardware;Cabling,Dataworld,,,,,,,,,,,,,,,,,,,,
